G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM,ACG
20210403SSWO0,20210403,SS,WO,0,토,고척,1
20210404HHKT0,20210404,HH,KT,0,일,수원,1
20210404HTOB0,20210404,HT,OB,0,일,잠실,1
20210404LGNC0,20210404,LG,NC,0,일,창원,1
20210404LTSK0,20210404,LT,SK,0,일,문학,1
20210404SSWO0,20210404,SS,WO,0,일,고척,1
20210406HHSK0,20210406,HH,SK,0,화,문학,1
20210406HTWO0,20210406,HT,WO,0,화,고척,1
20210406LGKT0,20210406,LG,KT,0,화,수원,1
20210406LTNC0,20210406,LT,NC,0,화,창원,1
20210406SSOB0,20210406,SS,OB,0,화,잠실,1
20210407HHSK0,20210407,HH,SK,0,수,문학,1
20210407HTWO0,20210407,HT,WO,0,수,고척,1
20210407LGKT0,20210407,LG,KT,0,수,수원,1
20210407LTNC0,20210407,LT,NC,0,수,창원,1
20210407SSOB0,20210407,SS,OB,0,수,잠실,1
20210408HHSK0,20210408,HH,SK,0,목,문학,1
20210408HTWO0,20210408,HT,WO,0,목,고척,1
20210408LGKT0,20210408,LG,KT,0,목,수원,1
20210408LTNC0,20210408,LT,NC,0,목,창원,1
20210408SSOB0,20210408,SS,OB,0,목,잠실,1
20210409KTSS0,20210409,KT,SS,0,금,대구,1
20210409NCHT0,20210409,NC,HT,0,금,광주,1
20210409OBHH0,20210409,OB,HH,0,금,대전,1
20210409SKLG0,20210409,SK,LG,0,금,잠실,1
20210409WOLT0,20210409,WO,LT,0,금,사직,1
20210410KTSS0,20210410,KT,SS,0,토,대구,1
20210410NCHT0,20210410,NC,HT,0,토,광주,1
20210410OBHH0,20210410,OB,HH,0,토,대전,1
20210410SKLG0,20210410,SK,LG,0,토,잠실,1
20210410WOLT0,20210410,WO,LT,0,토,사직,1
20210411KTSS0,20210411,KT,SS,0,일,대구,1
20210411NCHT0,20210411,NC,HT,0,일,광주,1
20210411OBHH0,20210411,OB,HH,0,일,대전,1
20210411SKLG0,20210411,SK,LG,0,일,잠실,1
20210411WOLT0,20210411,WO,LT,0,일,사직,1
20210413HHSS0,20210413,HH,SS,0,화,대구,1
20210413KTOB0,20210413,KT,OB,0,화,잠실,1
20210413LGWO0,20210413,LG,WO,0,화,고척,1
20210413LTHT0,20210413,LT,HT,0,화,광주,1
20210413NCSK0,20210413,NC,SK,0,화,문학,1
20210414HHSS0,20210414,HH,SS,0,수,대구,1
20210414KTOB0,20210414,KT,OB,0,수,잠실,1
20210414LGWO0,20210414,LG,WO,0,수,고척,1
20210414LTHT0,20210414,LT,HT,0,수,광주,1
20210414NCSK0,20210414,NC,SK,0,수,문학,1
20210415HHSS0,20210415,HH,SS,0,목,대구,1
20210415KTOB0,20210415,KT,OB,0,목,잠실,1
20210415LGWO0,20210415,LG,WO,0,목,고척,1
20210415LTHT0,20210415,LT,HT,0,목,광주,1
20210415NCSK0,20210415,NC,SK,0,목,문학,1
20210416HHNC0,20210416,HH,NC,0,금,창원,1
20210416HTSK0,20210416,HT,SK,0,금,문학,1
20210416OBLG0,20210416,OB,LG,0,금,잠실,1
20210416SSLT0,20210416,SS,LT,0,금,사직,1
20210416WOKT0,20210416,WO,KT,0,금,수원,1
20210417HHNC0,20210417,HH,NC,0,토,창원,1
20210417HTSK0,20210417,HT,SK,0,토,문학,1
20210417OBLG0,20210417,OB,LG,0,토,잠실,1
20210417SSLT0,20210417,SS,LT,0,토,사직,1
20210417WOKT0,20210417,WO,KT,0,토,수원,1
20210418HHNC0,20210418,HH,NC,0,일,창원,1
20210418HTSK0,20210418,HT,SK,0,일,문학,1
20210418OBLG0,20210418,OB,LG,0,일,잠실,1
20210418SSLT0,20210418,SS,LT,0,일,사직,1
20210418WOKT0,20210418,WO,KT,0,일,수원,1
20210420HTLG0,20210420,HT,LG,0,화,잠실,1
20210420KTNC0,20210420,KT,NC,0,화,창원,1
20210420OBLT0,20210420,OB,LT,0,화,사직,1
20210420SKSS0,20210420,SK,SS,0,화,대구,1
20210420WOHH0,20210420,WO,HH,0,화,대전,1
20210421HTLG0,20210421,HT,LG,0,수,잠실,1
20210421KTNC0,20210421,KT,NC,0,수,창원,1
20210421OBLT0,20210421,OB,LT,0,수,사직,1
20210421SKSS0,20210421,SK,SS,0,수,대구,1
20210421WOHH0,20210421,WO,HH,0,수,대전,1
20210422HTLG0,20210422,HT,LG,0,목,잠실,1
20210422KTNC0,20210422,KT,NC,0,목,창원,1
20210422OBLT0,20210422,OB,LT,0,목,사직,1
20210422SKSS0,20210422,SK,SS,0,목,대구,1
20210422WOHH0,20210422,WO,HH,0,목,대전,1
20210423LGHH0,20210423,LG,HH,0,금,대전,1
20210423LTKT0,20210423,LT,KT,0,금,수원,1
20210423NCOB0,20210423,NC,OB,0,금,잠실,1
20210423SKWO0,20210423,SK,WO,0,금,고척,1
20210423SSHT0,20210423,SS,HT,0,금,광주,1
20210424LGHH0,20210424,LG,HH,0,토,대전,1
20210424LTKT0,20210424,LT,KT,0,토,수원,1
20210424NCOB0,20210424,NC,OB,0,토,잠실,1
20210424SKWO0,20210424,SK,WO,0,토,고척,1
20210424SSHT0,20210424,SS,HT,0,토,광주,1
20210425LGHH0,20210425,LG,HH,0,일,대전,1
20210425LTKT0,20210425,LT,KT,0,일,수원,1
20210425NCOB0,20210425,NC,OB,0,일,잠실,1
20210425SKWO0,20210425,SK,WO,0,일,고척,1
20210425SSHT0,20210425,SS,HT,0,일,광주,1
20210427HHHT0,20210427,HH,HT,0,화,광주,1
20210427KTSK0,20210427,KT,SK,0,화,문학,1
20210427LTLG0,20210427,LT,LG,0,화,잠실,1
20210427NCSS0,20210427,NC,SS,0,화,대구,1
20210427OBWO0,20210427,OB,WO,0,화,고척,1
20210428HHHT0,20210428,HH,HT,0,수,광주,1
20210428KTSK0,20210428,KT,SK,0,수,문학,1
20210428LTLG0,20210428,LT,LG,0,수,잠실,1
20210428NCSS0,20210428,NC,SS,0,수,대구,1
20210428OBWO0,20210428,OB,WO,0,수,고척,1
20210429HHHT0,20210429,HH,HT,0,목,광주,1
20210429KTSK0,20210429,KT,SK,0,목,문학,1
20210429LTLG0,20210429,LT,LG,0,목,잠실,1
20210429NCSS0,20210429,NC,SS,0,목,대구,1
20210429OBWO0,20210429,OB,WO,0,목,고척,1
20210430HHLT0,20210430,HH,LT,0,금,사직,1
20210430HTKT0,20210430,HT,KT,0,금,수원,1
20210430LGSS0,20210430,LG,SS,0,금,대구,1
20210430SKOB0,20210430,SK,OB,0,금,잠실,1
20210430WONC0,20210430,WO,NC,0,금,창원,1
20210501HHLT0,20210501,HH,LT,0,토,사직,1
20210501HTKT0,20210501,HT,KT,0,토,수원,1
20210501LGSS0,20210501,LG,SS,0,토,대구,1
20210501SKOB0,20210501,SK,OB,0,토,잠실,1
20210501WONC0,20210501,WO,NC,0,토,창원,1
20210502HHLT0,20210502,HH,LT,0,일,사직,1
20210502HTKT0,20210502,HT,KT,0,일,수원,1
20210502LGSS0,20210502,LG,SS,0,일,대구,1
20210502SKOB0,20210502,SK,OB,0,일,잠실,1
20210502WONC0,20210502,WO,NC,0,일,창원,1
20210505HTLT0,20210505,HT,LT,0,수,사직,1
20210505KTWO0,20210505,KT,WO,0,수,고척,1
20210505LGOB0,20210505,LG,OB,0,수,잠실,1
20210505SKNC0,20210505,SK,NC,0,수,창원,1
20210505SSHH0,20210505,SS,HH,0,수,대전,1
20210506HTLT0,20210506,HT,LT,0,목,사직,1
20210506KTWO0,20210506,KT,WO,0,목,고척,1
20210506LGOB0,20210506,LG,OB,0,목,잠실,1
20210506SKNC0,20210506,SK,NC,0,목,창원,1
20210506SSHH0,20210506,SS,HH,0,목,대전,1
20210507LTSS0,20210507,LT,SS,0,금,대구,1
20210508HHLG0,20210508,HH,LG,0,토,잠실,1
20210508LTSS0,20210508,LT,SS,0,토,대구,1
20210508NCKT0,20210508,NC,KT,0,토,수원,1
20210508OBHT0,20210508,OB,HT,0,토,광주,1
20210508WOSK0,20210508,WO,SK,0,토,문학,1
20210509HHLG1,20210509,HH,LG,1,일,잠실,1
20210509HHLG2,20210509,HH,LG,2,일,잠실,1
20210509LTSS0,20210509,LT,SS,0,일,대구,1
20210509NCKT1,20210509,NC,KT,1,일,수원,1
20210509NCKT2,20210509,NC,KT,2,일,수원,1
20210509OBHT1,20210509,OB,HT,1,일,광주,1
20210509OBHT2,20210509,OB,HT,2,일,광주,1
20210509WOSK1,20210509,WO,SK,1,일,문학,1
20210509WOSK2,20210509,WO,SK,2,일,문학,1
20210511LGHT0,20210511,LG,HT,0,화,광주,1
20210511NCHH0,20210511,NC,HH,0,화,대전,1
20210511SKLT0,20210511,SK,LT,0,화,사직,1
20210511SSKT0,20210511,SS,KT,0,화,수원,1
20210511WOOB0,20210511,WO,OB,0,화,잠실,1
