SEASON_ID,T_ID,T_NM
2016,HH,ÇÑÈ­
2016,HT,KIA
2016,KT,KT
2016,LG,LG
2016,LT,·Ôµ¥
2016,NC,NC
2016,OB,µÎ»ê
2016,SK,SK
2016,SS,»ï¼º
2016,WO,³Ø¼¾
2017,HH,ÇÑÈ­
2017,HT,KIA
2017,KT,KT
2017,LG,LG
2017,LT,·Ôµ¥
2017,NC,NC
2017,OB,µÎ»ê
2017,SK,SK
2017,SS,»ï¼º
2017,WO,³Ø¼¾
2018,HH,ÇÑÈ­
2018,HT,KIA
2018,KT,KT
2018,LG,LG
2018,LT,·Ôµ¥
2018,NC,NC
2018,OB,µÎ»ê
2018,SK,SK
2018,SS,»ï¼º
2018,WO,³Ø¼¾
2019,HH,ÇÑÈ­
2019,HT,KIA
2019,KT,KT
2019,LG,LG
2019,LT,·Ôµ¥
2019,NC,NC
2019,OB,µÎ»ê
2019,SK,SK
2019,SS,»ï¼º
2019,WO,Å°¿ò
2020,HH,ÇÑÈ­
2020,HT,KIA
2020,KT,KT
2020,LG,LG
2020,LT,·Ôµ¥
2020,NC,NC
2020,OB,µÎ»ê
2020,SK,SK
2020,SS,»ï¼º
2020,WO,Å°¿ò
2021,HH,ÇÑÈ­
2021,HT,KIA
2021,KT,KT
2021,LG,LG
2021,LT,·Ôµ¥
2021,NC,NC
2021,OB,µÎ»ê
2021,SK,SSG
2021,SS,»ï¼º
2021,WO,Å°¿ò
