G_ID,GDAY_DS,VISIT_KEY,HOME_KEY,HEADER_NO,GWEEK,STADIUM,ACG
20210915HHSK0,20210915,HH,SK,0,수,문학,2
20210915KTOB0,20210915,KT,OB,0,수,잠실,2
20210915LGSS0,20210915,LG,SS,0,수,대구,2
20210915LTHT0,20210915,LT,HT,0,수,광주,2
20210915WONC0,20210915,WO,NC,0,수,창원,2
20210916HHWO0,20210916,HH,WO,0,목,고척,2
20210916HTSS0,20210916,HT,SS,0,목,대구,2
20210916LGNC0,20210916,LG,NC,0,목,창원,2
20210916LTKT0,20210916,LT,KT,0,목,수원,2
20210916SKOB0,20210916,SK,OB,0,목,잠실,2
20210917HHWO0,20210917,HH,WO,0,금,고척,2
20210917HTSS0,20210917,HT,SS,0,금,대구,2
20210917LGNC0,20210917,LG,NC,0,금,창원,2
20210917LTKT0,20210917,LT,KT,0,금,수원,2
20210917SKOB0,20210917,SK,OB,0,금,잠실,2
20210918HTLG0,20210918,HT,LG,0,토,잠실,2
20210918KTNC0,20210918,KT,NC,0,토,창원,2
20210918LTHH0,20210918,LT,HH,0,토,대전,2
20210918OBWO0,20210918,OB,WO,0,토,고척,2
20210918SSSK0,20210918,SS,SK,0,토,문학,2
20210919HTLG0,20210919,HT,LG,0,일,잠실,2
20210919KTNC0,20210919,KT,NC,0,일,창원,2
20210919LTHH0,20210919,LT,HH,0,일,대전,2
20210919OBWO0,20210919,OB,WO,0,일,고척,2
20210919SSSK0,20210919,SS,SK,0,일,문학,2
20210921KTHT0,20210921,KT,HT,0,화,광주,2
20210921LGHH0,20210921,LG,HH,0,화,대전,2
20210921NCOB0,20210921,NC,OB,0,화,잠실,2
20210921SSLT0,20210921,SS,LT,0,화,사직,2
20210921WOSK0,20210921,WO,SK,0,화,문학,2
20210922KTHT0,20210922,KT,HT,0,수,광주,2
20210922LGHH0,20210922,LG,HH,0,수,대전,2
20210922NCOB0,20210922,NC,OB,0,수,잠실,2
20210922SSLT0,20210922,SS,LT,0,수,사직,2
20210922WOSK0,20210922,WO,SK,0,수,문학,2
20210923HHKT0,20210923,HH,KT,0,목,수원,2
20210923LTSK0,20210923,LT,SK,0,목,문학,2
20210923NCWO0,20210923,NC,WO,0,목,고척,2
20210923OBHT0,20210923,OB,HT,0,목,광주,2
20210923SSLG0,20210923,SS,LG,0,목,잠실,2
20210924HHKT0,20210924,HH,KT,0,금,수원,2
20210924LTSK0,20210924,LT,SK,0,금,문학,2
20210924NCWO0,20210924,NC,WO,0,금,고척,2
20210924OBHT0,20210924,OB,HT,0,금,광주,2
20210924SSLG0,20210924,SS,LG,0,금,잠실,2
20210925HHOB0,20210925,HH,OB,0,토,잠실,2
20210925LGKT0,20210925,LG,KT,0,토,수원,2
20210925LTWO0,20210925,LT,WO,0,토,고척,2
20210925NCSS0,20210925,NC,SS,0,토,대구,2
20210925SKHT0,20210925,SK,HT,0,토,광주,2
20210926HHOB0,20210926,HH,OB,0,일,잠실,2
20210926LGKT0,20210926,LG,KT,0,일,수원,2
20210926LTWO0,20210926,LT,WO,0,일,고척,2
20210926NCSS0,20210926,NC,SS,0,일,대구,2
20210926SKHT0,20210926,SK,HT,0,일,광주,2
20210928HTNC0,20210928,HT,NC,0,화,창원,2
20210928LTLG0,20210928,LT,LG,0,화,잠실,2
20210928OBKT0,20210928,OB,KT,0,화,수원,2
20210928SKSS0,20210928,SK,SS,0,화,대구,2
20210928WOHH0,20210928,WO,HH,0,화,대전,2
20210929HTNC0,20210929,HT,NC,0,수,창원,2
20210929LTLG0,20210929,LT,LG,0,수,잠실,2
