G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT
20160401HHLG0,20160401,LG,HH,0,B,60146,0,1,0,1,W,0,6,29,8,7,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.0,1.0,1.5
20160401HHLG0,20160401,LG,HH,0,B,61891,0,1,0,0, ,0,5,33,8,6,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.0,1.8,1.5
20160401HHLG0,20160401,LG,HH,0,B,62146,0,1,0,0, ,0,1,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0.0
20160401HHLG0,20160401,LG,HH,0,B,62698,1,0,0,0, ,0,18,94,28,25,9,2,0,0,0,0,2,0,1,0,0,4,1,0,0,0,4,4,0.818181818,1.588235294,3.75
20160401HHLG0,20160401,HH,LG,0,T,65764,0,1,0,1,L,0,4,27,6,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0.0,1.5,0.0
20160401HHLG0,20160401,LG,HH,0,B,70839,0,1,0,0, ,0,3,11,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20160401HHLG0,20160401,LG,HH,0,B,71118,0,1,0,0, ,0,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
20160401HHLG0,20160401,HH,LG,0,T,72447,0,1,0,0, ,0,6,29,7,7,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.5,1.5
20160401HHLG0,20160401,HH,LG,0,T,73801,1,0,0,0, ,0,9,57,15,14,5,1,0,1,1,0,0,0,1,0,0,4,0,0,0,0,3,3,1.5,1.5,1.5
20160401HHLG0,20160401,HH,LG,0,T,74731,0,1,0,0, ,0,1,18,3,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.0,6.0,0.0
20160401HHLG0,20160401,HH,LG,0,T,74857,0,1,0,0, ,0,9,27,9,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.0
20160401HHLG0,20160401,HH,LG,0,T,99737,0,1,0,0, ,0,5,38,7,6,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1.0,1.2,0.0
