GYEAR,PCODE,NAME,T_ID,POSITION,AGE_VA,MONEY
2016,60100,백창수,LG,내,28,4000만원
2016,60105,배민관,LG,투,24,2700만원
2016,60146,이승현,LG,투,24,3700만원
2016,60164,유경국,LG,투,24,2700만원
2016,60181,김지용,LG,투,28,4000만원
2016,60255,장민익,OB,투,25,2800만원
2016,60263,이재학,NC,투,25,20000만원
2016,60264,정대현,KT,투,24,6300만원
2016,60304,이창섭,NC,내,29,3000만원
2016,60337,김대유,SK,투,25,2700만원
2016,60339,김정훈,WO,투,24,3400만원
2016,60342,정회찬,WO,투,29,2700만원
2016,60343,이해창,KT,포,29,2900만원
2016,60404,송주호,HH,외,28,4000만원
2016,60441,임진우,OB,투,29,3700만원
2016,60454,정민우,SS,포,24,2900만원
2016,60456,백상원,SS,내,28,4500만원
2016,60457,김현우,SS,투,28,4500만원
2016,60464,문선엽,SS,외,24,2800만원
2016,60496,김선민,KT,내,25,3200만원
2016,60523,정훈,LT,내,28,21000만원
2016,60558,오승택,LT,내,24,7000만원
2016,60559,박시영,LT,투,27,2700만원
2016,60566,이상호,NC,내,27,4800만원
2016,60605,홍재호,HT,내,29,3400만원
2016,60634,임기준,HT,투,24,3300만원
2016,60636,심동섭,HT,투,24,14000만원
2016,60648,이인행,HT,내,25,3000만원
2016,60658,최병연,HT,내,29,3000만원
2016,60667,이종환,HH,외,30,6200만원
2016,60713,안승민,HH,투,25,7000만원
2016,60724,이상훈,SS,외,29,3500만원
2016,60757,김경태,HH,투,25,3000만원
2016,60764,김용주,HH,투,24,3000만원
2016,60768,이태양,HH,투,26,6500만원
2016,60805,최윤석,HH,내,29,5700만원
2016,60841,박종훈,SK,투,24,7000만원
2016,60845,문광은,SK,투,28,6000만원
2016,60848,최원재,KT,투,29,4600만원
2016,60864,이상백,SK,투,29,3200만원
2016,60865,안정광,KT,내,26,2900만원
2016,60949,이창호,LG,투,29,2700만원
2016,61101,임찬규,LG,투,23,4800만원
2016,61102,유강남,LG,포,23,8100만원
2016,61108,강병의,LG,내,24,3000만원
2016,61114,김재율,LG,내,27,2900만원
2016,61145,이영재,LG,투,23,2700만원
2016,61186,이천웅,LG,외,27,2800만원
2016,61194,이민재,LG,외,28,3400만원
2016,61197,최영진,OB,내,28,3000만원
2016,61204,김동한,LT,내,28,3200만원
2016,61208,정진호,OB,외,27,5200만원
2016,61214,이현호,OB,투,23,6800만원
2016,61215,안규영,OB,투,28,3000만원
2016,61240,니퍼트,OB,투,35,1200000달러
2016,61295,강동연,OB,투,23,2800만원
2016,61323,이태양,NC,투,23,10000만원
2016,61329,윤지웅,LG,투,28,12500만원
2016,61353,고종욱,WO,외,27,7700만원
2016,61365,김대우,SS,투,27,11000만원
2016,61366,홍성갑,WO,외,23,3200만원
2016,61396,박정준,WO,투,24,2700만원
2016,61411,심창민,SS,투,23,14000만원
2016,61457,임현준,SS,투,27,3300만원
2016,61463,김정혁,SS,내,30,3300만원
2016,61492,정우양,SS,포,28,2700만원
2016,61527,김명성,OB,투,28,3200만원
2016,61554,김민하,LT,외,27,4000만원
2016,61557,이정담,SK,투,24,2700만원
2016,61569,이경우,LT,투,28,2800만원
2016,61591,김사훈,LT,포,29,2900만원
2016,61643,홍건희,HT,투,23,4500만원
2016,61652,윤정우,HT,외,28,2900만원
2016,61665,우병걸,SS,투,26,2700만원
2016,61666,한승혁,HT,투,23,7000만원
2016,61700,강경학,HH,내,23,6500만원
2016,61715,유창식,HT,투,24,6000만원
2016,61742,나성용,SS,외,28,3700만원
2016,61743,오준혁,HT,외,24,3300만원
2016,61767,문재현,HH,투,24,2700만원
2016,61891,임정우,LG,투,25,12500만원
2016,61893,박계현,SK,내,24,6000만원
2016,61895,서진용,SK,투,23,3000만원
2016,61929,채선관,KT,투,28,3000만원
2016,62007,김지성,LG,내,30,3800만원
2016,62016,윤병호,NC,외,27,2900만원
2016,62056,정영일,SK,투,27,2700만원
2016,62146,최성훈,LG,투,26,3500만원
2016,62147,조윤준,LG,포,26,3000만원
2016,62164,서상우,LG,내,26,6000만원
2016,62234,류지혁,OB,내,22,3000만원
2016,62242,윤명준,OB,투,27,11500만원
2016,62244,박세혁,OB,포,26,3000만원
2016,62265,유민상,KT,내,27,3200만원
2016,62302,지재옥,WO,포,27,2700만원
2016,62322,밴헤켄,WO,투,36,
2016,62332,김재현,WO,포,23,4400만원
2016,62338,박종윤,WO,투,23,2700만원
2016,62349,김병현,HT,투,37,15000만원
2016,62353,박정음,WO,외,27,2700만원
2016,62363,한현희,WO,투,23,30000만원
2016,62404,구자욱,SS,내,23,8000만원
2016,62406,성의준,SS,내,26,3000만원
2016,62415,박해민,SS,외,26,15000만원
2016,62463,이준형,LG,투,23,2800만원
2016,62522,이지모,LT,투,29,2700만원
2016,62528,김원중,LT,투,23,3600만원
2016,62537,윤여운,LG,포,26,2700만원
2016,62556,신본기,LT,내,27,5500만원
