G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT
20160401HHLG0,20160401,LG,HH,0,B,0,0,W,0,36,184,52,46,13,2,0,0,0,0,3,0,3,0,0,10,1,0,0,0,4,4,0.642857143,0.0,2.4
20160401HHLG0,20160401,HH,LG,0,T,0,0,L,0,34,196,47,42,9,2,0,1,2,1,1,0,4,0,0,11,0,1,0,0,5,4,1.5,0.0,0.75
20160401HTNC0,20160401,NC,HT,0,B,0,0,W,0,27,143,38,34,8,3,0,1,0,0,0,0,3,0,1,10,1,2,0,0,4,4,1.333333333,0.0,2.142857143
20160401HTNC0,20160401,HT,NC,0,T,0,0,L,0,24,147,36,30,9,2,0,2,0,0,1,0,5,0,0,9,1,0,0,0,5,5,0.5,0.0,1.875
20160401KTSK0,20160401,SK,KT,0,B,0,0,L,0,27,151,42,36,11,0,0,2,2,1,0,1,4,0,1,7,0,0,0,0,8,8,1.0,0.0,2.25
20160401KTSK0,20160401,KT,SK,0,T,0,0,W,0,27,147,36,36,10,5,0,1,0,0,0,0,0,0,0,7,1,0,0,0,4,4,1.8,0.0,0.272727273
20160401LTWO0,20160401,WO,LT,0,B,0,0,L,0,27,145,39,37,11,2,0,0,1,0,0,0,2,0,0,6,2,0,0,0,2,1,0.25,0.0,0.818181818
20160401LTWO0,20160401,LT,WO,0,T,0,0,W,4,27,138,36,30,6,1,0,0,0,2,0,1,5,0,0,6,0,0,0,1,1,0,0.0,0.0,1.0
20160401OBSS0,20160401,OB,SS,0,T,0,0,W,1,27,146,35,32,8,0,0,0,1,1,0,0,2,0,1,6,2,1,0,0,1,1,1.0,0.0,1.6666666669999999
20160401OBSS0,20160401,SS,OB,0,B,0,0,L,0,27,147,37,31,8,0,0,2,2,1,1,1,3,0,1,3,1,0,0,1,5,4,0.375,0.0,3.0
20160402HHLG0,20160402,HH,LG,0,T,0,0,L,0,30,222,49,40,12,2,1,1,1,2,0,0,8,0,1,9,0,2,0,1,8,8,4.0,0.0,3.0
20160402HHLG0,20160402,LG,HH,0,B,0,0,W,2,33,176,50,43,13,4,0,0,0,1,2,0,3,1,2,9,0,0,0,0,7,7,1.9090909090000001,0.0,1.5
20160402HTNC0,20160402,NC,HT,0,B,0,0,L,0,27,152,39,33,8,2,0,1,1,1,1,0,5,0,0,8,0,0,0,0,4,4,3.6,0.0,2.5714285709999998
20160402HTNC0,20160402,HT,NC,0,T,0,0,W,0,27,146,36,33,7,1,0,1,1,0,0,0,2,0,1,5,1,0,0,0,3,3,0.75,0.0,1.5
20160402KTSK0,20160402,SK,KT,0,B,0,0,W,0,30,162,41,34,8,0,0,0,0,2,1,0,6,0,0,3,2,1,0,1,3,2,1.875,0.0,0.428571429
20160402KTSK0,20160402,KT,SK,0,T,0,0,L,0,28,173,44,37,10,2,0,1,2,0,0,0,6,2,1,6,1,1,0,0,4,4,1.875,0.0,2.0
20160402LTWO0,20160402,LT,WO,0,T,0,0,L,0,24,127,35,30,9,0,0,0,1,1,0,0,4,0,1,6,1,0,0,0,5,4,2.5,0.0,1.6666666669999999
20160402LTWO0,20160402,WO,LT,0,B,0,0,W,3,27,167,39,34,8,3,0,0,2,1,0,0,5,0,0,9,0,0,0,0,3,3,1.2,0.0,0.545454545
20160402OBSS0,20160402,OB,SS,0,T,0,0,L,0,24,135,41,36,16,3,1,2,1,1,2,0,2,0,1,7,1,0,0,1,10,10,1.875,0.0,2.1
20160402OBSS0,20160402,SS,OB,0,B,0,0,W,0,27,160,42,38,12,6,0,1,1,0,0,0,4,0,0,6,1,0,1,0,6,6,0.692307692,0.0,5.0
20160403KTSK0,20160403,KT,SK,0,T,0,0,W,2,27,158,38,32,8,2,0,0,1,1,0,1,3,0,2,4,0,0,0,0,4,4,1.0,0.0,2.142857143
20160403KTSK0,20160403,SK,KT,0,B,0,0,L,0,27,167,40,33,7,2,0,1,0,1,0,0,6,0,1,9,0,0,0,1,5,5,1.714285714,0.0,1.6666666669999999
20160403LTWO0,20160403,LT,WO,0,T,0,0,L,0,25,178,42,34,11,2,0,0,3,0,1,0,7,1,0,7,0,1,0,0,6,6,2.666666667,0.0,1.8
20160403LTWO0,20160403,WO,LT,0,B,0,0,W,0,27,152,43,38,12,1,1,0,0,0,0,1,4,0,0,5,1,0,0,0,5,4,1.875,0.0,0.818181818
20160405LGHT0,20160405,LG,HT,0,T,0,0,L,0,24,123,31,28,6,1,0,1,0,0,0,0,3,0,0,10,2,1,0,0,4,2,2.0,0.0,0.6
20160405LGHT0,20160405,HT,LG,0,B,0,0,W,2,27,137,35,34,7,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,1,1,0.75,0.0,0.6
20160405NCOB0,20160405,NC,OB,0,T,0,0,L,0,24,156,39,28,6,1,1,0,2,1,0,0,7,0,4,5,0,0,0,0,6,6,2.5,0.0,1.875
20160405NCOB0,20160405,OB,NC,0,B,0,0,W,0,27,146,37,31,5,0,0,0,0,0,0,0,5,0,1,9,1,0,0,0,2,2,1.8,0.0,1.5
20160405SKLT0,20160405,LT,SK,0,B,0,0,W,3,27,152,35,30,4,2,0,0,1,0,0,1,2,0,2,12,0,0,0,1,1,1,0.75,0.0,0.666666667
20160405SKLT0,20160405,SK,LT,0,T,0,0,L,0,24,111,34,30,5,0,0,0,0,0,0,0,3,0,1,7,0,1,0,1,2,2,0.375,0.0,1.333333333
20160405SSKT0,20160405,SS,KT,0,T,0,0,L,0,24,159,42,32,11,4,0,1,2,0,0,2,8,0,0,6,1,1,0,0,8,8,1.846153846,0.0,2.0
20160405SSKT0,20160405,KT,SS,0,B,0,0,W,0,27,181,45,38,10,2,0,0,0,0,0,0,6,0,1,6,1,1,0,0,3,2,1.5,0.0,0.46153846200000004
20160405WOHH0,20160405,WO,HH,0,T,0,0,L,0,24,129,41,35,13,4,0,0,1,0,0,1,4,0,1,1,1,1,0,0,9,8,2.333333333,0.0,1.6666666669999999
20160405WOHH0,20160405,HH,WO,0,B,0,0,W,0,27,180,40,32,7,0,0,1,2,2,0,0,7,0,1,11,1,3,0,1,5,3,2.4,0.0,1.2
20160406NCOB0,20160406,NC,OB,0,T,0,0,L,0,24,133,32,30,5,0,0,1,0,0,0,0,1,0,1,8,0,0,1,0,2,2,0.272727273,0.0,0.3
20160406NCOB0,20160406,OB,NC,0,B,0,0,W,0,27,118,29,28,2,0,0,0,0,0,0,0,1,0,0,12,1,0,0,0,0,0,0.0,0.0,0.857142857
20160406SKLT0,20160406,SK,LT,0,T,0,0,L,0,15,112,31,27,14,3,0,3,1,1,1,0,2,0,1,2,0,0,0,0,11,11,2.5,0.0,6.0
20160406SKLT0,20160406,LT,SK,0,B,0,0,W,0,15,74,21,16,1,0,0,0,0,0,0,0,4,0,1,2,1,0,0,0,1,0,1.5,0.0,0.428571429
20160406SSKT0,20160406,SS,KT,0,T,0,0,W,0,27,138,38,36,7,2,0,3,0,0,0,0,2,0,0,6,0,1,0,0,6,6,3.0,0.0,1.5
20160406SSKT0,20160406,KT,SS,0,B,0,0,L,0,27,170,47,41,14,3,1,0,2,0,1,0,5,0,0,3,1,1,1,0,11,7,1.636363636,0.0,4.5
20160406WOHH0,20160406,HH,WO,0,B,0,0,L,0,27,177,40,32,6,2,0,0,0,0,0,0,7,0,1,12,0,2,0,1,6,6,2.5714285709999998,0.0,0.9
20160406WOHH0,20160406,WO,HH,0,T,0,0,W,1,27,124,36,35,11,3,0,2,1,0,1,0,0,0,0,5,1,1,0,0,4,4,0.6,0.0,1.5
20160407LGHT0,20160407,LG,HT,0,T,0,0,W,2,27,137,37,34,9,5,0,0,1,1,0,0,2,0,1,6,1,1,0,0,4,4,3.0,0.0,0.666666667
20160407LGHT0,20160407,HT,LG,0,B,0,0,L,0,27,162,43,38,11,1,0,2,2,0,0,0,4,0,1,9,0,0,0,0,8,8,1.875,0.0,2.625
20160407NCOB0,20160407,OB,NC,0,B,0,0,L,0,27,159,43,41,15,2,1,0,0,1,0,0,2,0,0,4,0,0,0,0,8,8,4.2,0.0,2.333333333
20160407NCOB0,20160407,NC,OB,0,T,0,0,W,0,27,156,40,36,10,1,0,0,0,0,0,0,2,0,2,9,1,1,0,0,2,2,0.75,0.0,1.0909090909999999
20160407SKLT0,20160407,LT,SK,0,B,0,0,L,0,27,156,42,36,12,1,0,3,2,1,0,2,3,0,1,5,0,1,0,0,8,8,1.714285714,0.0,1.5
20160407SKLT0,20160407,SK,LT,0,T,0,0,W,0,27,143,33,31,5,1,0,1,0,0,0,1,1,0,0,8,0,1,0,0,3,3,0.0,0.0,0.6
