G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,BAT_ORDER_NO,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20190323HHOB0,20190323,HH,OB,0,T,61554,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,62244,1,8,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190323HHOB0,20190323,HH,OB,0,T,62700,1,6,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0
20190323HHOB0,20190323,HH,OB,0,T,62797,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
20190323HHOB0,20190323,HH,OB,0,T,68730,1,3,5,4,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0
20190323HHOB0,20190323,HH,OB,0,T,68743,1,9,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0
20190323HHOB0,20190323,OB,HH,0,B,69209,1,6,4,4,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2
20190323HHOB0,20190323,HH,OB,0,T,71752,1,4,5,4,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0.5,2,1
20190323HHOB0,20190323,HH,OB,0,T,73136,1,5,5,2,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
20190323HHOB0,20190323,OB,HH,0,B,74206,1,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20190323HHOB0,20190323,OB,HH,0,B,75334,1,5,4,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
