GYEAR,PCODE,NAME,T_ID,POSITION,AGE_VA,MONEY
2017,60100,백창수,LG,외,29,4200만원
2017,60105,배민관,LG,투,25,3000만원
2017,60140,신정락,LG,투,30,7500만원
2017,60146,이승현,SS,투,25,6200만원
2017,60164,유경국,LG,투,25,3000만원
2017,60181,김지용,LG,투,29,10000만원
2017,60255,장민익,OB,투,26,2700만원
2017,60263,이재학,NC,투,26,20000만원
2017,60264,정대현,WO,투,25,5500만원
2017,60337,김대유,SK,투,26,2700만원
2017,60339,김건태,WO,투,25,4200만원
2017,60343,이해창,KT,포,30,4500만원
2017,60441,임진우,OB,투,30,3200만원
2017,60456,백상원,SS,내,29,9000만원
2017,60457,김현우,SS,투,29,5500만원
2017,60464,문선엽,SS,외,25,2700만원
2017,60496,김동은,KT,내,26,3000만원
2017,60523,정훈,LT,내,29,15000만원
2017,60558,오태곤,KT,내,25,6000만원
2017,60559,박시영,LT,투,28,5000만원
2017,60566,이상호,NC,내,28,4800만원
2017,60605,홍재호,HT,내,30,3700만원
2017,60634,임기준,HT,투,25,3700만원
2017,60636,심동섭,HT,투,25,11000만원
2017,60648,이인행,HT,내,26,3100만원
2017,60658,최병연,HT,내,30,3300만원
2017,60667,이종환,HH,외,31,6000만원
2017,60693,이준호,HT,외,29,4000만원
2017,60713,안승민,HH,투,26,7000만원
2017,60724,이상훈,KT,외,30,3600만원
2017,60757,김경태,HH,투,26,3200만원
2017,60764,김용주,HH,투,25,3300만원
2017,60768,이태양,HH,투,27,8300만원
2017,60805,최윤석,HH,내,30,5200만원
2017,60841,박종훈,SK,투,25,10000만원
2017,60845,문광은,SK,투,29,4500만원
2017,60848,최원재,KT,투,30,3700만원
2017,60865,안정광,KT,내,27,2900만원
2017,60949,이창호,LG,투,30,2700만원
2017,61101,임찬규,LG,투,24,6500만원
2017,61102,유강남,LG,포,24,10000만원
2017,61104,정병곤,SS,내,29,3500만원
2017,61114,김재율,LG,내,28,2900만원
2017,61156,송윤준,LG,투,24,2700만원
2017,61186,이천웅,LG,외,28,9300만원
2017,61197,최영진,SS,내,29,3000만원
2017,61204,김동한,LT,내,29,3800만원
2017,61208,정진호,OB,외,28,4700만원
2017,61214,이현호,OB,투,24,6000만원
2017,61215,안규영,OB,투,29,4000만원
2017,61240,니퍼트,OB,투,36,2100000달러
2017,61329,윤지웅,LG,투,29,9500만원
2017,61353,고종욱,WO,외,28,12000만원
2017,61360,김도현,SK,외,24,3200만원
2017,61365,김대우,SS,투,28,15000만원
2017,61366,홍성갑,WO,외,24,3600만원
2017,61396,박정준,WO,투,25,2700만원
2017,61404,김헌곤,SS,외,28,5000만원
2017,61411,심창민,SS,투,24,21000만원
2017,61456,윤영삼,WO,투,24,2900만원
2017,61457,임현준,SS,투,28,3200만원
2017,61463,김정혁,SS,내,31,4300만원
2017,61496,황수범,SS,투,30,2800만원
2017,61554,김민하,LT,외,28,3600만원
2017,61557,이정담,SK,투,25,2800만원
2017,61591,김사훈,LT,포,30,2900만원
2017,61643,홍건희,HT,투,24,9000만원
2017,61652,윤정우,SK,외,29,4000만원
2017,61666,한승혁,HT,투,24,7500만원
2017,61700,강경학,HH,내,24,6200만원
2017,61742,나성용,SS,외,29,3900만원
2017,61743,오준혁,HT,외,25,4200만원
2017,61869,정진기,SK,외,24,2900만원
2017,61891,임정우,LG,투,26,22000만원
2017,61895,서진용,SK,투,24,4000만원
2017,61929,채선관,KT,투,29,3000만원
2017,62007,김지성,HT,내,31,3800만원
2017,62016,윤병호,NC,외,28,3000만원
2017,62025,이원재,NC,외,28,2700만원
2017,62056,정영일,SK,투,28,4000만원
2017,62146,최성훈,LG,투,27,4500만원
2017,62147,조윤준,LG,포,27,3000만원
2017,62164,서상우,LG,내,27,5500만원
2017,62234,류지혁,OB,내,23,5700만원
2017,62244,박세혁,OB,포,27,6000만원
2017,62265,유민상,KT,내,28,4500만원
2017,62322,밴헤켄,WO,투,37,900000달러
2017,62332,김재현,WO,포,24,5300만원
2017,62338,박종윤,WO,투,24,2700만원
2017,62353,박정음,WO,외,28,6600만원
2017,62356,김규민,WO,외,24,2700만원
2017,62363,한현희,WO,투,24,25000만원
2017,62404,구자욱,SS,외,24,16000만원
2017,62406,성의준,SS,내,27,3500만원
2017,62415,박해민,SS,외,27,23000만원
2017,62463,이준형,LG,투,24,6500만원
2017,62499,이현동,SS,외,24,2800만원
2017,62528,김원중,LT,투,24,3000만원
