G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN
20170331HHOB0,20170331,HH,OB,0,T,33,29,0,0,4,0,0,0,0,1,1,0,3,0,0,8,0,4,6,0,4,0
20170331HHOB0,20170331,OB,HH,0,B,33,27,3,3,4,1,0,0,3,0,0,2,2,0,2,8,0,1,6,0.111111111,9,1
20170331HTSS0,20170331,HT,SS,0,T,42,34,7,7,7,1,1,3,0,1,0,0,8,0,0,5,0,1,8,0.285714286,7,2
20170331HTSS0,20170331,SS,HT,0,B,33,31,2,2,7,1,0,2,0,0,1,0,1,0,0,7,1,1,4,0,3,0
20170331KTSK0,20170331,SK,KT,0,B,36,33,2,2,8,1,0,0,1,0,1,0,0,0,1,8,1,1,7,0.4,5,2
20170331KTSK0,20170331,KT,SK,0,T,37,35,3,3,9,2,0,1,0,1,0,0,2,1,0,8,1,1,7,0.2,5,1
20170331LGWO0,20170331,LG,WO,0,T,34,31,1,2,4,0,0,1,0,0,0,0,3,0,0,10,1,0,5,0,2,0
20170331LGWO0,20170331,WO,LG,0,B,34,30,1,1,5,2,1,0,0,0,0,0,4,0,0,6,2,1,6,0,8,0
20170331LTNC0,20170331,LT,NC,0,T,34,33,3,5,7,2,0,1,0,1,0,0,0,0,1,8,0,2,2,0.666666667,3,2
20170331LTNC0,20170331,NC,LT,0,B,38,32,6,6,11,5,0,1,2,2,0,0,4,0,2,9,0,2,8,0.384615385,13,5
20170401HHOB0,20170401,OB,HH,0,B,49,42,4,5,9,0,0,1,1,0,0,1,6,0,0,7,0,0,11,0.285714286,7,2
20170401HHOB0,20170401,HH,OB,0,T,54,44,6,6,16,2,0,1,0,0,4,0,6,1,0,8,0,1,15,0.15,20,3
20170401HTSS0,20170401,HT,SS,0,T,49,43,8,9,14,2,1,0,0,0,1,1,3,1,1,9,0,1,10,0.5,14,7
20170401HTSS0,20170401,SS,HT,0,B,47,39,6,7,10,1,0,1,1,0,1,0,4,1,3,8,0,0,10,0.333333333,12,4
20170401KTSK0,20170401,SK,KT,0,B,32,32,0,0,7,0,0,0,0,1,0,0,0,0,0,5,1,0,5,0,4,0
20170401KTSK0,20170401,KT,SK,0,T,30,30,2,2,3,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0
20170401LGWO0,20170401,WO,LG,0,B,40,37,3,3,12,3,0,0,1,0,0,0,2,0,1,9,1,0,10,0.3,10,3
20170401LGWO0,20170401,LG,WO,0,T,39,36,8,8,11,5,0,2,1,0,1,0,1,0,1,9,0,0,4,0.363636364,11,4
20170401LTNC0,20170401,LT,NC,0,T,38,32,3,3,6,2,0,0,0,0,1,0,4,0,1,11,0,1,8,0.375,8,3
20170401LTNC0,20170401,NC,LT,0,B,38,35,0,0,7,0,0,0,0,0,0,0,3,0,0,9,0,1,11,0,6,0
20170402HHOB0,20170402,OB,HH,0,B,46,40,4,5,8,0,0,2,0,0,1,0,5,1,0,7,2,1,7,0.25,4,1
20170402HHOB0,20170402,HH,OB,0,T,54,44,4,4,8,1,1,1,2,0,0,0,7,0,3,9,0,2,14,0.181818182,11,2
20170402HTSS0,20170402,SS,HT,0,B,48,40,15,16,17,2,1,2,1,0,1,1,4,0,2,6,1,1,8,0.5,18,9
20170402HTSS0,20170402,HT,SS,0,T,40,38,2,3,10,3,0,1,0,0,0,0,2,0,0,12,0,2,10,0.166666667,12,2
20170402KTSK0,20170402,KT,SK,0,T,46,38,7,8,11,1,0,2,1,0,0,1,7,0,0,6,0,0,11,0.375,8,3
20170402KTSK0,20170402,SK,KT,0,B,28,28,1,1,3,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,0
20170402LGWO0,20170402,LG,WO,0,T,41,36,7,9,10,2,0,1,1,1,0,0,5,0,0,9,0,1,5,0.375,8,3
20170402LGWO0,20170402,WO,LG,0,B,33,28,1,2,3,1,0,0,1,1,0,1,4,0,0,6,0,1,4,0,4,0
20170402LTNC0,20170402,LT,NC,0,T,45,37,12,12,13,2,0,5,1,0,0,1,5,0,2,10,1,1,6,0.4,10,4
20170402LTNC0,20170402,NC,LT,0,B,36,31,4,4,4,0,1,0,2,0,0,0,4,0,1,10,1,0,5,0.25,8,2
20170404NCHH0,20170404,HH,NC,0,B,37,31,6,6,10,3,0,1,0,1,2,0,2,0,2,5,2,1,7,0.25,12,3
20170404NCHH0,20170404,NC,HH,0,T,34,31,0,0,3,1,0,0,0,0,0,0,3,0,0,10,0,1,7,0,5,0
20170404OBKT0,20170404,KT,OB,0,B,32,30,0,0,3,0,0,0,0,0,0,0,2,0,0,7,0,0,5,0,5,0
20170404OBKT0,20170404,OB,KT,0,T,40,32,2,2,8,3,0,0,3,0,0,1,5,0,2,4,1,1,11,0.2,10,2
20170404SKHT0,20170404,SK,HT,0,T,33,29,1,1,5,1,0,0,0,1,0,0,4,0,0,10,2,1,5,0.5,2,1
20170404SKHT0,20170404,HT,SK,0,B,34,29,5,6,6,3,0,0,1,0,0,0,3,0,2,4,1,0,4,0.444444444,9,4
20170404SSLG0,20170404,SS,LG,0,T,37,35,0,0,7,0,0,0,0,0,0,0,1,0,1,12,0,2,10,0,8,0
20170404SSLG0,20170404,LG,SS,0,B,44,41,11,11,16,2,0,0,2,0,0,0,2,0,1,5,0,1,9,0.388888889,18,7
20170404WOLT0,20170404,LT,WO,0,B,31,31,5,5,9,1,0,2,1,1,0,0,0,0,0,7,1,0,2,0.6,5,3
20170404WOLT0,20170404,WO,LT,0,T,37,33,2,2,9,0,0,1,0,0,0,1,3,0,0,5,1,0,8,0.4,5,2
20170406NCHH0,20170406,NC,HH,0,T,39,35,4,5,11,1,0,0,0,0,1,0,1,0,2,8,3,1,7,0.3,10,3
20170406NCHH0,20170406,HH,NC,0,B,37,34,2,2,8,1,0,1,0,0,0,0,1,0,2,7,2,1,8,0.142857143,7,1
20170406OBKT0,20170406,OB,KT,0,T,36,34,1,1,7,0,0,1,0,0,0,0,1,0,1,11,0,0,8,0,4,0
20170406OBKT0,20170406,KT,OB,0,B,38,28,5,5,8,2,0,1,1,0,2,0,8,1,0,10,1,0,9,0.125,8,1
20170406SKHT0,20170406,HT,SK,0,B,38,32,6,6,10,2,0,0,3,1,0,0,5,0,1,10,1,0,8,0.363636364,11,4
20170406SKHT0,20170406,SK,HT,0,T,37,34,4,4,8,1,0,2,2,0,0,1,2,0,0,5,0,0,6,0.142857143,7,1
20170406SSLG0,20170406,SS,LG,0,T,31,31,0,0,4,0,1,0,0,0,0,0,0,0,0,7,0,2,4,0,5,0
20170406SSLG0,20170406,LG,SS,0,B,34,29,4,4,8,0,1,1,0,1,1,1,3,0,0,6,0,0,6,0.25,8,2
20170406WOLT0,20170406,WO,LT,0,T,34,34,3,3,8,1,0,2,0,0,0,0,0,0,0,5,0,0,4,0,1,0
20170406WOLT0,20170406,LT,WO,0,B,41,37,12,12,17,3,1,2,0,1,0,3,1,0,0,7,0,0,5,0.7,10,7
20170407HHHT0,20170407,HT,HH,0,B,32,27,4,4,7,2,0,0,0,1,2,1,1,1,1,3,0,1,4,0.222222222,9,2
