G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT
20180324HHWO0,20180324,HH,WO,0,T,0,0,L,0,24,173,41,37,12,3,0,1,2,0,0,0,4,0,0,10,0,2,0,0,6,5,1.75,0,2.25
20180324HHWO0,20180324,WO,HH,0,B,0,0,W,2,27,152,38,37,13,0,1,0,1,0,0,0,1,0,0,9,0,0,0,1,3,2,1.090909091,0,2.25
20180324KTHT0,20180324,HT,KT,0,B,0,0,L,0,27,154,38,37,11,1,0,3,0,0,0,0,1,0,0,9,0,0,0,0,5,5,2,0,1.5
20180324KTHT0,20180324,KT,HT,0,T,0,0,W,2,27,165,43,36,12,2,0,0,0,0,2,1,2,0,2,8,0,0,0,0,4,4,1.2,0,2.625
20180324LGNC0,20180324,LG,NC,0,T,0,0,L,0,24,141,35,30,9,2,0,1,1,1,0,1,4,0,0,9,0,1,0,0,4,4,0.428571429,0,1
20180324LGNC0,20180324,NC,LG,0,B,0,0,W,2,27,113,32,30,7,0,0,1,1,0,0,1,1,0,0,9,1,0,0,0,2,2,0,0,1.333333333
20180324LTSK0,20180324,SK,LT,0,B,0,0,W,2,27,170,39,33,7,2,0,0,2,0,0,0,6,0,0,12,0,1,0,0,5,4,1.5,0,2.571428571
20180324LTSK0,20180324,LT,SK,0,T,0,0,L,0,24,166,40,32,8,1,0,1,2,1,0,1,7,0,0,10,0,1,0,0,6,5,2.142857143,0,1.2
20180324SSOB0,20180324,OB,SS,0,B,0,0,L,0,27,172,43,37,13,4,0,0,0,0,1,0,4,0,1,9,0,0,0,0,6,6,1.666666667,0,3.428571429
20180324SSOB0,20180324,SS,OB,0,T,0,0,W,2,27,114,32,32,6,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,3,2,0,1
20180325HHWO0,20180325,WO,HH,0,B,0,0,L,0,27,154,39,36,11,3,0,1,2,1,0,0,1,0,2,9,1,0,0,0,4,4,1.5,0,3
20180325HHWO0,20180325,HH,WO,0,T,0,0,W,1,27,138,33,31,5,1,0,1,0,0,0,0,1,0,1,11,0,0,0,0,1,1,0,0,0.666666667
20180325KTHT0,20180325,KT,HT,0,T,0,0,L,0,24,157,44,39,16,2,0,4,1,0,0,1,3,0,1,8,0,0,0,0,14,14,3,0,3.428571429
20180325KTHT0,20180325,HT,KT,0,B,0,0,W,0,27,116,33,33,7,1,0,1,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0,0,1.5
20180325LGNC0,20180325,NC,LG,0,B,0,0,W,0,27,140,35,30,3,0,0,1,0,0,0,0,4,0,1,7,0,1,0,0,1,1,0.75,0,0.6
20180325LGNC0,20180325,LG,NC,0,T,0,0,L,0,24,158,41,30,8,1,0,0,2,0,0,2,5,0,4,5,2,2,0,0,7,2,1.333333333,0,1.090909091
20180325LTSK0,20180325,SK,LT,0,B,0,0,W,2,27,126,33,32,5,1,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0.6
20180325LTSK0,20180325,LT,SK,0,T,0,0,L,0,24,133,36,31,9,2,0,3,1,0,0,0,5,0,0,9,2,0,0,0,5,5,1.5,0,4.2
20180325SSOB0,20180325,OB,SS,0,B,0,0,W,1,27,122,33,31,6,0,0,1,0,1,1,0,1,0,0,4,0,0,0,0,4,4,2,0,0.6
